structure_group_id_v1,structure_group_size,molecule_ids_numeric_sorted,unique_donor_ids,donor_ids_numeric_sorted,unique_acceptor_ids,acceptor_ids_numeric_sorted,unique_donor_structures,unique_acceptor_structures,unique_role_aware_groups,role_annotation_consistent,atom_count_consistent,sidecar_atom_origin_consistent,dft_pdb_json_geometry_consistent,d81_a28_conflict_in_group,geometry_reference_id,geometry_resolved_comparisons,geometry_unresolved_comparisons,geometry_mapping_methods,heavy_atom_rmsd_min_angstrom,heavy_atom_rmsd_max_angstrom,geometry_unresolved_reasons,primary_range_eV,meaningful_target_disagreement_count,representative_eligible_under_strict_rule
72f692d08348f033a5d240d76a5e861c1655e6694dd25911d1194238a27c33ce,2,D37_A185;D37_A186,1,D37,2,A185;A186,1,2,2,False,True,True,True,False,D37_A185,1,0,RESOLVED_INDEX_GRAPH,0.0024292990682643475,0.0024292990682643475,,0.00014999999999998348,13,False
7349f913677dc34275fa941056a617d9e0301582c3ab36594f9be0baff143b0c,2,D41_A207;D42_A207,2,D41;D42,1,A207,1,1,1,True,True,True,True,False,D41_A207,1,0,RESOLVED_INDEX_GRAPH,0.00016679881627302168,0.00016679881627302168,,8.571428571357842e-07,1,False
741ffd155c92f8d886b60d3850393c869f730a5b47bfe4561a999e2138ddd276,2,D24_A185;D24_A186,1,D24,2,A185;A186,1,2,2,False,True,True,True,False,D24_A185,1,0,RESOLVED_INDEX_GRAPH,0.0004626896310829589,0.0004626896310829589,,0.0005048571428571402,10,False
74286e105e5340a8d3d8dcdd1bc9193e9c6ec6de3c733f7f76fa0cffa1e94552,2,D41_A233;D42_A233,2,D41;D42,1,A233,1,1,1,True,True,True,True,False,D41_A233,1,0,RESOLVED_INDEX_GRAPH,0.0005491799733358114,0.0005491799733358114,,4.742857142858714e-05,7,False
75f0e7ce0bcc337dbabd156d6a0980ff9288446968782abf55c7678cbee2c04e,2,D158_A182;D158_A187,1,D158,2,A182;A187,1,2,2,False,True,True,True,False,D158_A182,1,0,RESOLVED_INDEX_GRAPH,0.5187903303360949,0.5187903303360949,,0.006157142857142861,16,False
76421bfc28927e1139bff23e6ecd1ebf8c496fdd28ba32cbf2f786e3e27268d2,2,D55_A13;D55_A14,1,D55,2,A13;A14,1,1,1,True,True,True,True,False,D55_A13,1,0,RESOLVED_INDEX_GRAPH,0.0015609967316380059,0.0015609967316380059,,0.00010571428571426456,7,False
76669db00aee27edba61feba3072cc5f60fb59d00564bd08b8f420a1417b7edc,2,D111_A13;D111_A14,1,D111,2,A13;A14,1,1,1,True,True,True,True,False,D111_A13,1,0,RESOLVED_INDEX_GRAPH,0.0004226609315326534,0.0004226609315326534,,0.0005257142857142405,14,False
784bf71463e631341fc36ed7db6d4eb7e660fd5fe9a23dae55c9490a6255837e,2,D52_A168;D53_A168,2,D52;D53,1,A168,2,1,2,False,True,True,True,False,D52_A168,1,0,RESOLVED_INDEX_GRAPH,0.0028114707777461604,0.0028114707777461604,,0.0021762857142856307,13,False
79de658dc820e76a9164e07a0b0d5d82d7c903c49e930be6563e94a454530697,2,D52_A14;D53_A13,2,D52;D53,2,A13;A14,2,1,2,False,True,True,True,False,D52_A14,1,0,RESOLVED_INDEX_GRAPH,0.003545565950340015,0.003545565950340015,,0.0002685714285713958,10,False
7a4ab33a1dbbac91daf3d7a9ef6c29c3cb73ca6f74f87c013c568143d7fd3b31,2,D55_A182;D55_A187,1,D55,2,A182;A187,1,2,2,False,True,True,True,False,D55_A182,1,0,RESOLVED_INDEX_GRAPH,0.00146344901846772,0.00146344901846772,,0.00164485714285717,12,False
7ae006d09f9a988bae938c60b56fd747fbbbb9cf9896ffb094e9ece2d431c09c,2,D17_A182;D17_A187,1,D17,2,A182;A187,1,2,2,False,True,True,True,False,D17_A182,1,0,RESOLVED_INDEX_GRAPH,0.0008048392462208975,0.0008048392462208975,,0.0006822857142856353,13,False
7b4ffa262be0fa8a7eb6d321de0f4a5b9a988ee432e4400c82ce2ad5d44cd0a2,2,D22_A185;D22_A186,1,D22,2,A185;A186,1,2,2,False,True,True,True,False,D22_A185,1,0,RESOLVED_INDEX_GRAPH,0.00019251450407224634,0.00019251450407224634,,6.399999999984196e-05,1,False
