structure_group_id_v1,structure_group_size,target,target_role,non_null_count,meaningful_tolerance,min,max,range,mean,std_population,maximum_absolute_deviation,exact_consistency,allclose_consistency,meaningful_disagreement
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_HDI,secondary,2,0.001,4.21,4.21,0.0,4.21,0.0,0.0,True,True,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_EDI,secondary,2,0.001,4.88,4.89,0.009999999999999787,4.885,0.004999999999999893,0.004999999999999893,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_Q_D_to_A_au,secondary,2,1e-05,-0.002357,-0.002356,1.0000000000001327e-06,-0.0023565,5.000000000000664e-07,5.000000000000664e-07,False,False,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_dipole_change_norm_au,secondary,2,0.001,6.939999,6.944937,0.004938000000000109,6.942468,0.0024690000000000545,0.0024690000000004986,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_hole_on_donor_fraction,masked_auxiliary,2,1e-05,0.4704967333817279,0.4707041377164785,0.00020740433475058273,0.47060043554910325,0.00010370216737529137,0.00010370216737531912,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_hole_on_acceptor_fraction,masked_auxiliary,2,1e-05,0.5246292647516335,0.524836669086384,0.00020740433475052722,0.5247329669190088,0.00010370216737526361,0.00010370216737531912,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_electron_on_donor_fraction,masked_auxiliary,2,1e-05,0.024372536818087542,0.02447371150057037,0.00010117468248282621,0.024423124159328957,5.0587341241413106e-05,5.058734124141484e-05,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_electron_on_acceptor_fraction,masked_auxiliary,2,1e-05,0.9754225863320543,0.9755237502592823,0.0001011639272280318,0.9754731682956683,5.05819636140159e-05,5.058196361407141e-05,False,False,True
098ee010724bf4f662fefaa2d8cb69eca4f04a5319a7f50478471dcc19594003,2,tddft_coulomb_attraction_eV_eps3p5_proxy,primary,2,0.001,0.60725,0.6072574285714286,7.4285714286581594e-06,0.6072537142857143,3.7142857143290797e-06,3.7142857143290797e-06,False,False,False
098ee010724bf4f662fefaa2d8cb69eca4f04a5319a7f50478471dcc19594003,2,tddft_excitation_energy_ev,secondary,2,0.001,2.8876,2.8876,0.0,2.8876,0.0,0.0,True,True,False
098ee010724bf4f662fefaa2d8cb69eca4f04a5319a7f50478471dcc19594003,2,tddft_wavelength_nm,secondary,2,0.1,429.36,429.36,0.0,429.36,0.0,0.0,True,True,False
