sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-127_A-345,0.9364448715876464,0.9009803,0.9364449,0.90512574,0.9364449,0.96710145,0.9364449,1.0373237,0.9698502966666668,0.03546457158764649,0.033405425079020334,0.002059146508626153
D-129_A-188,0.7355937423651168,0.6984309,0.73559374,0.8079971,0.73559374,0.74098814,0.73559374,0.74416625,0.76438383,0.0371628423651168,0.02879008763488322,0.008372754730233578
D-102_A-1,0.8553316165292485,0.88862675,0.8553316,0.87602544,0.8553316,0.9155915,0.8553316,0.8564285,0.8826818133333333,0.033295133470751526,0.027350196804084792,0.005944936666666734
D-84_A-165,0.6498390022813317,0.6553517,0.649839,0.77482474,0.649839,0.6477401,0.649839,0.6679586,0.6968411466666667,0.005512697718668247,0.04700214438533501,-0.04148944666666676
D-154_A-111,0.6484706582872477,0.6804721,0.64847064,0.653252,0.64847064,0.70289224,0.64847064,0.7633016,0.7064819466666666,0.03200144171275232,0.058011288379418935,-0.026009846666666614
D-101_A-321,0.66651569470923,0.6755439,0.6665157,0.57666785,0.6665157,0.6560253,0.6665157,0.6316291,0.62144075,0.009028205290769975,0.045074944709230014,-0.03604673941846004
D-166_A-18,1.0765679613909156,1.0659091,1.076568,1.0561686,1.076568,1.0904119,1.076568,1.1067573,1.0844459333333332,0.010658861390915542,0.007877971942417572,0.0027808894484979696
D-100_A-368,0.448194855516776,0.53691727,0.44819486,0.70628643,0.44819486,0.7190511,0.44819486,0.72940063,0.7182460533333334,0.08872241448322399,0.27005119781655734,-0.18132878333333335
D-113_A-332,0.941832726064352,0.9544114,0.9418327,1.0256081,0.9418327,1.0967567,0.9418327,1.1155788,1.0793145333333332,0.012578673935648044,0.13748180726898118,-0.12490313333333314
D-114_A-3,0.7576505145879361,0.8382205,0.7576505,0.9429754,0.7576505,0.9755143,0.7576505,1.0541754,0.9908883666666667,0.08056998541206395,0.2332378520787306,-0.15266786666666665
D-132_A-119,0.6443112035325038,0.6493281,0.6443112,0.6841712,0.6443112,0.7599515,0.6443112,0.6920011,0.7120412666666667,0.005016896467496146,0.06773006313416285,-0.06271316666666671
D-7_A-270,0.973654498608589,0.9213025,0.9736545,1.0387629,0.9736545,1.0203166,0.9736545,1.0251058,1.0280617666666667,0.05235199860858897,0.05440726805807772,-0.0020552694494887502
D-22_A-63,0.6548536720323781,0.6818764,0.6548537,0.69825923,0.6548537,0.61705774,0.6548537,0.63812244,0.65114647,0.02702272796762195,0.0037072020323780652,0.023315525935243886
D-140_A-58,0.5676295170913097,0.60879946,0.5676295,0.6460475,0.5676295,0.6747629,0.5676295,0.6229522,0.6479208666666666,0.04116994290869025,0.08029134957535689,-0.039121406666666636
D-154_A-37,1.2976021645261837,1.0484685,1.2976022,1.0743883,1.2976022,1.1366725,1.2976022,1.022428,1.0778296,0.24913366452618368,0.21977256452618366,0.02936110000000003
D-7_A-9,1.4036177253405528,1.3813989,1.4036177,1.3017242,1.4036177,1.3292109,1.4036177,1.2394058,1.2901136333333334,0.02221882534055286,0.11350409200721945,-0.09128526666666659
D-143_A-2,0.905804850674664,0.7903703,0.9058049,0.8570398,0.9058049,0.94857407,0.9058049,0.89494395,0.9001859400000001,0.11543455067466402,0.005618910674663913,0.1098156400000001
D-22_A-125,0.9106718014718036,0.74902785,0.91067183,0.8123599,0.91067183,0.68866897,0.91067183,0.7083794,0.7364694233333333,0.16164395147180355,0.17420237813847028,-0.012558426666666733
D-29_A-300,0.9925780740722274,0.7940088,0.9925781,1.0291028,0.9925781,0.84567046,0.9925781,0.8704101,0.91506112,0.19856927407222746,0.07751695407222747,0.12105231999999999
D-83_A-54,0.6117897096276559,0.7385267,0.6117897,0.675552,0.6117897,0.6168515,0.6117897,0.7006818,0.6643617666666667,0.1267369903723441,0.0525720570390108,0.0741649333333333
D-121_A-284,0.6092473886841022,0.67434573,0.6092474,0.65534556,0.6092474,0.68191886,0.6092474,0.66797686,0.66841376,0.06509834131589776,0.05916637131589775,0.005931970000000009
D-117_A-4,0.9705990486672535,0.92032945,0.97059906,0.950662,0.97059906,0.9312887,0.97059906,0.93416333,0.9387046766666667,0.05026959866725356,0.03189437200058687,0.01837522666666669
